"","Year","Team","Wins","Playoffs","predictions"
"1",2016,"Chicago Cubs",103,1,0.999998933257503
"2",2015,"St. Louis Cardinals",100,1,0.999985288251856
"3",2015,"Pittsburgh Pirates",98,1,0.999915399226368
"4",2014,"Los Angeles Angels",98,1,0.999915399226368
"5",2012,"Washington Nationals",98,1,0.999915399226368
"6",2015,"Chicago Cubs",97,1,0.999797141517731
"7",2013,"St. Louis Cardinals",97,1,0.999797141517731
"8",2013,"Boston Red Sox",97,1,0.999797141517731
"9",2012,"Cincinnati Reds",97,1,0.999797141517731
"10",2014,"Washington Nationals",96,1,0.999513659744778
"11",2014,"Baltimore Orioles",96,1,0.999513659744778
"12",2013,"Atlanta Braves",96,1,0.999513659744778
"13",2013,"Oakland Athletics",96,1,0.999513659744778
"14",2016,"Texas Rangers",95,1,0.998834492106249
"15",2016,"Washington Nationals",95,1,0.998834492106249
"16",2015,"Kansas City Royals",95,1,0.998834492106249
"17",2012,"New York Yankees",95,1,0.998834492106249
"18",2016,"Cleveland Indians",94,1,0.997209523887271
"19",2014,"Los Angeles Dodgers",94,1,0.997209523887271
"20",2013,"Pittsburgh Pirates",94,1,0.997209523887271
"21",2012,"Oakland Athletics",94,1,0.997209523887271
"22",2012,"San Francisco Giants",94,1,0.997209523887271
"23",2012,"Atlanta Braves",94,1,0.997209523887271
"24",2016,"Boston Red Sox",93,1,0.993334120652714
"25",2015,"Toronto Blue Jays",93,1,0.993334120652714
"26",2013,"Detroit Tigers",93,1,0.993334120652714
"27",2012,"Texas Rangers",93,1,0.993334120652714
"28",2012,"Baltimore Orioles",93,1,0.993334120652714
"29",2015,"Los Angeles Dodgers",92,1,0.984162051963834
"30",2013,"Los Angeles Dodgers",92,1,0.984162051963834
"31",2013,"Cleveland Indians",92,1,0.984162051963834
"32",2013,"Tampa Bay Rays",92,1,0.984162051963834
"33",2016,"Los Angeles Dodgers",91,1,0.962841571789301
"34",2013,"Texas Rangers",91,0,0.962841571789301
"35",2015,"New York Mets",90,1,0.915290581776641
"36",2014,"Detroit Tigers",90,1,0.915290581776641
"37",2014,"St. Louis Cardinals",90,1,0.915290581776641
"38",2013,"Cincinnati Reds",90,1,0.915290581776641
"39",2012,"Tampa Bay Rays",90,0,0.915290581776641
"40",2016,"Baltimore Orioles",89,1,0.818368279612551
"41",2016,"Toronto Blue Jays",89,1,0.818368279612551
"42",2014,"Kansas City Royals",89,1,0.818368279612551
"43",2012,"Los Angeles Angels",89,0,0.818368279612551
"44",2015,"Texas Rangers",88,1,0.652636348962793
"45",2014,"Pittsburgh Pirates",88,1,0.652636348962793
"46",2014,"San Francisco Giants",88,1,0.652636348962793
"47",2014,"Oakland Athletics",88,1,0.652636348962793
"48",2012,"Detroit Tigers",88,1,0.652636348962793
"49",2012,"St. Louis Cardinals",88,1,0.652636348962793
"50",2016,"New York Mets",87,1,0.439292080662929
"51",2016,"San Francisco Giants",87,1,0.439292080662929
"52",2015,"New York Yankees",87,1,0.439292080662929
"53",2014,"Seattle Mariners",87,0,0.439292080662929
"54",2015,"Houston Astros",86,1,0.246248959982936
"55",2016,"Detroit Tigers",86,0,0.246248959982936
"56",2016,"St. Louis Cardinals",86,0,0.246248959982936
"57",2016,"Seattle Mariners",86,0,0.246248959982936
"58",2013,"Washington Nationals",86,0,0.246248959982936
"59",2013,"Kansas City Royals",86,0,0.246248959982936
"60",2012,"Los Angeles Dodgers",86,0,0.246248959982936
"61",2015,"Los Angeles Angels",85,0,0.11989735520714
"62",2014,"Cleveland Indians",85,0,0.11989735520714
"63",2013,"New York Yankees",85,0,0.11989735520714
"64",2013,"Baltimore Orioles",85,0,0.11989735520714
"65",2012,"Chicago White Sox",85,0,0.11989735520714
"66",2016,"New York Yankees",84,0,0.0537539230862438
"67",2016,"Houston Astros",84,0,0.0537539230862438
"68",2015,"San Francisco Giants",84,0,0.0537539230862438
"69",2014,"New York Yankees",84,0,0.0537539230862438
"70",2015,"Washington Nationals",83,0,0.0231402520325381
"71",2015,"Minnesota Twins",83,0,0.0231402520325381
"72",2014,"Toronto Blue Jays",83,0,0.0231402520325381
"73",2012,"Milwaukee Brewers",83,0,0.0231402520325381
"74",2014,"Milwaukee Brewers",82,0,0.00978130470572376
"75",2016,"Kansas City Royals",81,0,0.00410213797013535
"76",2015,"Cleveland Indians",81,0,0.00410213797013535
"77",2015,"Baltimore Orioles",81,0,0.00410213797013535
"78",2013,"Arizona Diamondbacks",81,0,0.00410213797013535
"79",2012,"Philadelphia Phillies",81,0,0.00410213797013535
"80",2012,"Arizona Diamondbacks",81,0,0.00410213797013535
"81",2015,"Tampa Bay Rays",80,0,0.0017146676325702
"82",2016,"Miami Marlins",79,0,0.000715721578355569
"83",2015,"Arizona Diamondbacks",79,0,0.000715721578355569
"84",2014,"New York Mets",79,0,0.000715721578355569
"85",2014,"Atlanta Braves",79,0,0.000715721578355569
"86",2012,"Pittsburgh Pirates",79,0,0.000715721578355569
"87",2016,"Pittsburgh Pirates",78,0,0.000298576184148857
"88",2016,"Chicago White Sox",78,0,0.000298576184148857
"89",2015,"Boston Red Sox",78,0,0.000298576184148857
"90",2013,"Los Angeles Angels",78,0,0.000298576184148857
"91",2014,"San Diego Padres",77,0,0.000124526151070235
"92",2014,"Miami Marlins",77,0,0.000124526151070235
"93",2014,"Tampa Bay Rays",77,0,0.000124526151070235
"94",2015,"Chicago White Sox",76,0,5.19304268182072e-05
"95",2015,"Seattle Mariners",76,0,5.19304268182072e-05
"96",2014,"Cincinnati Reds",76,0,5.19304268182072e-05
"97",2013,"San Francisco Giants",76,0,5.19304268182072e-05
"98",2013,"San Diego Padres",76,0,5.19304268182072e-05
"99",2012,"San Diego Padres",76,0,5.19304268182072e-05
"100",2016,"Colorado Rockies",75,0,2.16553315550198e-05
"101",2012,"Seattle Mariners",75,0,2.16553315550198e-05
"102",2016,"Los Angeles Angels",74,0,9.03025713622477e-06
"103",2015,"Detroit Tigers",74,0,9.03025713622477e-06
"104",2015,"San Diego Padres",74,0,9.03025713622477e-06
"105",2013,"Colorado Rockies",74,0,9.03025713622477e-06
"106",2013,"Milwaukee Brewers",74,0,9.03025713622477e-06
"107",2013,"Toronto Blue Jays",74,0,9.03025713622477e-06
"108",2013,"New York Mets",74,0,9.03025713622477e-06
"109",2012,"New York Mets",74,0,9.03025713622477e-06
"110",2016,"Milwaukee Brewers",73,0,3.76558278595227e-06
"111",2014,"Chicago White Sox",73,0,3.76558278595227e-06
"112",2014,"Philadelphia Phillies",73,0,3.76558278595227e-06
"113",2014,"Chicago Cubs",73,0,3.76558278595227e-06
"114",2013,"Philadelphia Phillies",73,0,3.76558278595227e-06
"115",2012,"Toronto Blue Jays",73,0,3.76558278595227e-06
"116",2012,"Kansas City Royals",72,0,1.57022884086804e-06
"117",2016,"Philadelphia Phillies",71,0,6.5477659026182e-07
"118",2015,"Miami Marlins",71,0,6.5477659026182e-07
"119",2014,"Boston Red Sox",71,0,6.5477659026182e-07
"120",2013,"Seattle Mariners",71,0,6.5477659026182e-07
"121",2014,"Houston Astros",70,0,2.73038007693996e-07
"122",2014,"Minnesota Twins",70,0,2.73038007693996e-07
"123",2016,"Arizona Diamondbacks",69,0,1.13855226596003e-07
"124",2016,"Oakland Athletics",69,0,1.13855226596003e-07
"125",2012,"Boston Red Sox",69,0,1.13855226596003e-07
"126",2012,"Miami Marlins",69,0,1.13855226596003e-07
"127",2016,"Atlanta Braves",68,0,4.74769484647319e-08
"128",2016,"Tampa Bay Rays",68,0,4.74769484647319e-08
"129",2016,"San Diego Padres",68,0,4.74769484647319e-08
"130",2016,"Cincinnati Reds",68,0,4.74769484647319e-08
"131",2015,"Colorado Rockies",68,0,4.74769484647319e-08
"132",2015,"Milwaukee Brewers",68,0,4.74769484647319e-08
"133",2015,"Oakland Athletics",68,0,4.74769484647319e-08
"134",2012,"Cleveland Indians",68,0,4.74769484647319e-08
"135",2015,"Atlanta Braves",67,0,1.97976027599615e-08
"136",2014,"Texas Rangers",67,0,1.97976027599615e-08
"137",2014,"Colorado Rockies",66,0,8.25548147871135e-09
"138",2013,"Minnesota Twins",66,0,8.25548147871135e-09
"139",2013,"Chicago Cubs",66,0,8.25548147871135e-09
"140",2012,"Minnesota Twins",66,0,8.25548147871135e-09
"141",2015,"Cincinnati Reds",64,0,1.43549605526387e-09
"142",2014,"Arizona Diamondbacks",64,0,1.43549605526387e-09
"143",2012,"Colorado Rockies",64,0,1.43549605526387e-09
"144",2015,"Philadelphia Phillies",63,0,5.98593229383126e-10
"145",2013,"Chicago White Sox",63,0,5.98593229383126e-10
"146",2013,"Miami Marlins",62,0,2.49609779681789e-10
"147",2012,"Chicago Cubs",61,0,1.04085778190847e-10
"148",2016,"Minnesota Twins",59,0,1.80988502464904e-11
"149",2012,"Houston Astros",55,0,5.47230346053288e-13
"150",2013,"Houston Astros",51,0,2.22044604925031e-16
